Original,Translate_IT
Ora cen porta l'un de' duri margini;,Ora uno dei confini sassosi ci porta su
"e 'l fummo del ruscel di sopra aduggia,",e il vapore dal flusso è sorto come nebbia
sì che dal foco salva l'acqua e li argini.,proteggere banchi e acqua dalle fiamme.
"Quali Fiamminghi tra Guizzante e Bruggia,","Come i Flemings tra Wissant e Bruges,"
"temendo 'l fiotto che 'nver' lor s'avventa,","temendo la marea che si precipita su di loro,"
fanno lo schermo perché 'l mar si fuggia;,"erigere un baluardo per respingere il mare,"
"e quali Padoan lungo la Brenta,","e mentre i Paduani costruiscono dighe lungo il Brenta,"
"per difender lor ville e lor castelli,",per proteggere le loro città e i loro castelli
anzi che Carentana il caldo senta:,prima che il caldo porti alluvioni a Carentana...
"a tale imagine eran fatti quelli,","in questo modo si formarono queste banche,"
"tutto che né sì alti né sì grossi,","eccetto l'architetto, chiunque fosse,"
"qual che si fosse, lo maestro félli.",non li aveva resi alti né spessi.
Già eravam da la selva rimossi,Ormai eravamo così lontani dal bosco
"tanto, ch'i' non avrei visto dov'era,","che non ce l'avrei fatta,"
"perch'io in dietro rivolto mi fossi,",anche se mi fossi girato nella sua direzione.
quando incontrammo d'anime una schiera,Qui abbiamo incontrato una truppa di anime
"che venian lungo l'argine, e ciascuna","in arrivo lungo la banca, e ciascuno"
ci riguardava come suol da sera,"ci guardava come gli uomini al tramonto a volte fanno,"
guardare uno altro sotto nuova luna;,guardarsi l'un l'altro sotto la luna nuova.
e sì ver' noi aguzzavan le ciglia,Ci hanno guardato con sopracciglia a maglia
come 'l vecchio sartor fa ne la cruna.,Come un vecchio sarto all'occhio del suo ago.
"Così adocchiato da cotal famiglia,","Così scrutato da una tale società,"
"fui conosciuto da un, che mi prese",Ero conosciuto da uno di loro che mi ha beccato.
per lo lembo e gridò: “Qual maraviglia!”.,"per l'orlo e poi gridò: ""Che meraviglia!."""
"E io, quando 'l suo braccio a me distese,","E mentre teneva il braccio teso verso di me,"
"ficcaï li occhi per lo cotto aspetto,",Ho fissato gli occhi sul suo viso bruciato
sì che 'l viso abbrusciato non difese,fino a quando sotto la sfigurazione carbonizzata
la conoscenza süa al mio 'ntelletto;,Potevo discernere le caratteristiche che conoscevo
"e chinando la mano a la sua faccia,","e abbassando la mia mano verso di lui,"
"rispuosi: “Siete voi qui, ser Brunetto?”.","Disse: ""Sei qui, Ser Brunetto?."""
"E quelli: “O figliuol mio, non ti dispiaccia","E lui: ""O figlio mio, non ti dispiaccia"
se Brunetto Latino un poco teco,se Brunetto Latini per un po' torna indietro
ritorna 'n dietro e lascia andar la traccia”.,"con te e lascia andare la truppa."""
"I' dissi lui: “Quanto posso, ven preco;","Gli dissi: ""Con tutto il mio cuore, ti prego,"
"e se volete che con voi m'asseggia,","e se mi fai sedere con te, lo faro',"
"faròl, se piace a costui che vo seco”.","se colui che mi conduce attraverso permette."""
"“O figliuol”, disse, “qual di questa greggia","'O figliolo,' disse 'chiunque di questo gregge si ferma"
"s'arresta punto, giace poi cent'anni","anche per un istante deve mentire cento anni,"
sanz'arrostarsi quando 'l foco il feggia.,incapace di respingere il fuoco quando colpisce.
Però va oltre: i' ti verrò a' panni;,"'Perciò, vai avanti. Io seguirò al tuo orlo"
"e poi rigiugnerò la mia masnada,","e più tardi si unirà alla mia band,"
che va piangendo i suoi etterni danni”.,"che vanno a lamentarsi del loro dolore eterno."""
Io non osava scender de la strada,Non ho osato lasciare il sentiero superiore
per andar par di lui; ma 'l capo chino,"a camminare più in basso con lui, ma ho tenuto"
tenea com'uom che reverente vada.,"la mia testa si inchinava, come uno che cammina nel rispetto."
El cominciò: “Qual fortuna o destino,"Iniziò: ""Che possibilità o destino è questo"
anzi l'ultimo dì qua giù ti mena?,"che ti porta qui prima della tua ultima ora,"
e chi è questi che mostra 'l cammino?”.,"e chi è costui che indica la via?."""
"“Là sù di sopra, in la vita serena”,","'Nella vita illuminata di sopra,' Ho risposto,"
"rispuos'io lui, “mi smarri' in una valle,","'in una valle là, ho perso la mia strada"
avanti che l'età mia fosse piena.,prima che raggiungessi lo zenit dei miei giorni.
Pur ier mattina le volsi le spalle:,"""Solo ieri mattina l'ho lasciato,"
"questi m'apparve, tornand'ïo in quella,","ma era tornato indietro quando apparve,"
e reducemi a ca per questo calle”.,"e ora lungo questa strada mi porta a casa."""
"Ed elli a me: “Se tu segui tua stella,",E lui a me: 'Seguendo la tua stella
"non puoi fallire a glorïoso porto,","non puoi non raggiungere un porto glorioso,"
se ben m'accorsi ne la vita bella;,se vedessi chiaramente nella vita felice.
"e s'io non fossi sì per tempo morto,","Se non fossi morto troppo presto,"
"veggendo il cielo a te così benigno,","visto che il Cielo ti favorisce tanto,"
dato t'avrei a l'opera conforto.,Ti avrei dato conforto nel tuo lavoro.
Ma quello ingrato popolo maligno,"'Ma quel maligno, ingrato rabble"
"che discese di Fiesole ab antico,",che è venuto giù da Fiesole molto tempo fa
"e tiene ancor del monte e del macigno,",e ancora schiaffi della montagna e della roccia
"ti si farà, per tuo ben far, nimico;","'Giustamente diventerà, a causa delle vostre buone azioni,"
"ed è ragion, ché tra li lazzi sorbi",il tuo nemico: tra i sorbi amareggiati
si disconvien fruttare al dolce fico.,non è adatto il fico dolce venire alla frutta.
Vecchia fama nel mondo li chiama orbi;,"'Il mondo ha da tempo creduto che fossero ciechi,"
"gent' è avara, invidiosa e superba:","un popolo avido, invidioso e orgoglioso."
dai lor costumi fa che tu ti forbi.,Assicuratevi di rimanere intatti dalle loro abitudini.
"La tua fortuna tanto onor ti serba,",Il tuo destino ti riserva un tale onore.
che l'una parte e l'altra avranno fame,"entrambe le parti avranno fame di divorarvi,"
di te; ma lungi fia dal becco l'erba.,ma l'erba sarà lontana dal capro.
Faccian le bestie fiesolane strame,'Lasciate che le bestie di Fiesolano facciano il foraggio
"di lor medesme, e non tocchin la pianta,","di se stessi ma risparmia la pianta,"
"s'alcuna surge ancora in lor letame,","se sul loro sterco spuntano ancora,"
in cui riviva la sementa santa,'la pianta in cui vive il sacro seme
di que' Roman che vi rimaser quando,di quei pochi romani rimasti
fu fatto il nido di malizia tanta”.,"quando divenne la casa di tanta malizia."""
"“Se fosse tutto pieno il mio dimando”,","Se tutte le mie preghiere fossero esaudite,"
"rispuos'io lui, “voi non sareste ancora","Gli dissi: ""Non lo faresti ancora."""
de l'umana natura posto in bando;,essere banditi dall'umanità.
"ché 'n la mente m'è fitta, e or m'accora,",'Poiché ricordo bene e ora mi lamento
la cara e buona imagine paterna,"la carissima, gentile, paterna immagine di Te"
di voi quando nel mondo ad ora ad ora,"quando, là nel mondo, di tanto in tanto,"
m'insegnavate come l'uom s'etterna:,Mi hai insegnato come l'uomo si rende immortale.
"e quant'io l'abbia in grado, mentr'io vivo",E quanta gratitudine devo per questo
convien che ne la mia lingua si scerna.,"la mia lingua, mentre vivo ancora, deve riferire."""
"Ciò che narrate di mio corso scrivo,",'Quello che racconti del mio futuro lo registro
e serbolo a chiosar con altro testo,"e tenere per la lucentezza, insieme con altri testi,"
"a donna che saprà, s'a lei arrivo.","da una donna di discernimento, se dovessi raggiungerla."
"Tanto vogl'io che vi sia manifesto,",Questo vorrei che tu sapessi:
"pur che mia coscïenza non mi garra,","fino a quando la coscienza non si ribella,"
"ch'a la Fortuna, come vuol, son presto.",Sono pronto per la Fortuna come vuole lei.
Non è nuova a li orecchi miei tal arra:,Questa profezia non mi è sconosciuta.
però giri Fortuna la sua rota,Lascia che la Fortuna faccia girare la ruota proprio come le pare.
"come le piace, e 'l villan la sua marra”.","e lascia che il contadino zoppo si impadronisca della sua zappa."""
Lo mio maestro allora in su la gota,A quel punto ho visto il lato destro del viso del mio padrone.
destra si volse in dietro e riguardommi;,Tornò indietro nella mia direzione e disse:
poi disse: “Bene ascolta chi la nota”.,Lui ascolta bene chi prende quello che sente.
Né per tanto di men parlando vommi,"Tuttavia, continuo a parlare"
"con ser Brunetto, e dimando chi sono","con ser Brunetto, chiedendo chi, dei suoi compagni,"
li suoi compagni più noti e più sommi.,"sono i più eminenti, i più degni di essere conosciuti."
Ed elli a me: “Saper d'alcuno è buono;,"E lui: ""Alcuni di loro è bene sapere."
"de li altri fia laudabile tacerci,","Altri è meglio non parlare,"
ché 'l tempo saria corto a tanto suono.,Perche' il tempo sarebbe troppo breve per parlare cosi' tanto.
In somma sappi che tutti fur cherci,"'In sintesi, si noti che tutti loro erano chierici"
"e litterati grandi e di gran fama,","o grandi e famosi studiosi, ammaliati"
