Original,Translate_IT
"Dal centro al cerchio, e sì dal cerchio al centro","Dal bordo al centro, dal centro al bordo,"
"movesi l'acqua in un ritondo vaso,","così l'acqua si muove in un vaso rotondo,"
secondo ch'è percosso fuori o dentro:,"come è colpito senza, o colpito dentro."
ne la mia mente fé sùbito caso,Quello che sto dicendo è caduto all'improvviso.
"questo ch'io dico, sì come si tacque","nella mia mente, non appena Thomas's"
"la glorïosa vita di Tommaso,","gloriosa fiamma vivente cadde silenziosa,"
per la similitudine che nacque,"tra il suo discorso e quello di Beatrice,"
"del suo parlare e di quel di Beatrice,",nacque una somiglianza.
"a cui sì cominciar, dopo lui, piacque:","quando è stato fatto, è stato felice di iniziare con questo"
"“A costui fa mestieri, e nol vi dice","""Non te ne parla - non con il discorso"
"né con la voce né pensando ancora,",né nei suoi pensieri come ancora-ma quest'uomo ha bisogno
d'un altro vero andare a la radice.,per raggiungere la radice di un'altra verità.
Diteli se la luce onde s'infiora,Digli se la luce con cui la tua anima
"vostra sustanza, rimarrà con voi",i fiori rimarranno con voi eternamente
etternalmente sì com'ell'è ora;,"così com'è ora; e se rimane,"
"e se rimane, dite come, poi","digli come, quando lo sei ancora una volta"
"che sarete visibili rifatti,","reso visibile, sarà possibile"
esser porà ch'al veder non vi nòi”.,"perché tu veda questa luce e non ti faccia del male."""
"Come, da più letizia pinti e tratti,","Come ballerini in un anello, quando disegnato e guidato"
a la fïata quei che vanno a rota,"con gioia maggiore, alzare a volte le loro voci"
"levan la voce e rallegrano li atti,","e ballare la loro danza con più esuberanza,"
"così, a l'orazion pronta e divota,","così, quando hanno sentito quella richiesta, devota,"
li santi cerchi mostrar nova gioia,i circoli benedetti mostrarono nuova gioia
nel torneare e ne la mira nota.,nel wheeling dance e nella canzone incredibile.
Qual si lamenta perché qui si moia,Chi piange perché sulla terra moriamo
"per viver colà sù, non vide quive","per vivere in alto, non ha mai visto"
lo refrigerio de l'etterna ploia.,docce eterne che portano ristoro lì.
Quell'uno e due e tre che sempre vive,Che uno e due e tre che vivono
"e regna sempre in tre e 'n due e 'n uno,","e regna sempre in Tre e Due e Uno,"
"non circunscritto, e tutto circunscrive,","non circoscritti e circoscrivibili tutti,"
tre volte era cantato da ciascuno,è stato cantato tre volte da ciascuna e tutte quelle anime
"di quelli spirti con tal melodia,",con una tale melodia che sarebbe
ch'ad ogne merto saria giusto muno.,una ricompensa adeguata per ogni merito.
E io udi' ne la luce più dia,E potevo sentire all'interno del cerchio più piccolo.
"del minor cerchio una voce modesta,",luce divina una voce modesta (forse
"forse qual fu da l'angelo a Maria,",molto simile alla voce dell'angelo nel discorso a Maria)
risponder: “Quanto fia lunga la festa,"risposta: ""Fino a quando la festa"
"di paradiso, tanto il nostro amore","del Paradiso sarà, così lungo sarà il nostro"
si raggerà dintorno cotal vesta.,amore irradiare intorno a noi un tale indumento.
La sua chiarezza séguita l'ardore;,"La sua luminosità prende la sua misura dal nostro ardore,"
"l'ardor la visïone, e quella è tanta,","il nostro ardore dalla nostra visione, che si misura"
quant'ha di grazia sovra suo valore.,per ciò che la grazia riceve ciascuno al di là del suo merito.
Come la carne glorïosa e santa,"Quando, glorificato e santificato, la carne"
"fia rivestita, la nostra persona","è ancora una volta il nostro vestito, le nostre persone devono,"
più grata fia per esser tutta quanta;,"nell'essere tutti completi, per favore ancora di più;"
per che s'accrescerà ciò che ne dona,"quindi, qualunque luce gratuita"
"di gratüito lume il sommo bene,",il Bene Supremo ci dara' un miglioramento...
lume ch'a lui veder ne condiziona;,la luce che ci permetterà di vederlo;
