Original,Translate_IT
Ora cen porta l'un de' duri margini;,"Ora ci porta in avanti uno dei margini duri,"
"e 'l fummo del ruscel di sopra aduggia,","E così la nebbia del ruscello lo ombreggia,"
sì che dal foco salva l'acqua e li argini.,Dal fuoco salva l'acqua e le dighe.
"Quali Fiamminghi tra Guizzante e Bruggia,","Anche come i Flemings, Twixt Cadsand e Bruges,"
"temendo 'l fiotto che 'nver' lor s'avventa,","Temendo il diluvio che li traina si agita,"
fanno lo schermo perché 'l mar si fuggia;,I loro baluardi costruiscono per far volare il mare;
"e quali Padoan lungo la Brenta,","E come i Paduani lungo il Brenta,"
"per difender lor ville e lor castelli,","per custodire le loro ville e i loro villaggi,"
anzi che Carentana il caldo senta:,O mai Chiarentana sente il caldo;
"a tale imagine eran fatti quelli,","In tal somiglianza erano stati fatti,"
"tutto che né sì alti né sì grossi,","Anche se non così alto né così denso,"
"qual che si fosse, lo maestro félli.","Chiunque egli possa essere, il padrone li ha creati."
Già eravam da la selva rimossi,"Eravamo così lontani dalla foresta,"
"tanto, ch'i' non avrei visto dov'era,",Non potevo scoprire dov'era.
"perch'io in dietro rivolto mi fossi,","Anche se fossi tornato indietro,"
quando incontrammo d'anime una schiera,"Quando incontriamo una compagnia di anime,"
"che venian lungo l'argine, e ciascuna","che è venuto accanto alla diga, e ognuno"
ci riguardava come suol da sera,"Gazed a noi, come alla sera siamo wont"
guardare uno altro sotto nuova luna;,"Per guardarsi l'un l'altro sotto una nuova luna,"
e sì ver' noi aguzzavan le ciglia,E così verso di noi hanno affilato le loro sopracciglia
come 'l vecchio sartor fa ne la cruna.,Come un vecchio sarto all'occhio dell'ago.
"Così adocchiato da cotal famiglia,","Così esaminato da una tale famiglia,"
"fui conosciuto da un, che mi prese","Da qualcuno che sono stato riconosciuto, che ha sequestrato"
per lo lembo e gridò: “Qual maraviglia!”.,"Il mio vestito è orlo, e gridò: ""Che meraviglia!"""
"E io, quando 'l suo braccio a me distese,","E io, quando mi stese il braccio,"
"ficcaï li occhi per lo cotto aspetto,","Sul suo aspetto cotto fissato così i miei occhi,"
sì che 'l viso abbrusciato non difese,Che il volto bruciato impedito non
la conoscenza süa al mio 'ntelletto;,Il suo riconoscimento da parte del mio intelletto;
"e chinando la mano a la sua faccia,","e inchinandomi alla sua faccia,"
"rispuosi: “Siete voi qui, ser Brunetto?”.","Ho risposto: ""Sei qui, ser Brunetto?"""
"E quelli: “O figliuol mio, non ti dispiaccia","E lui: ""Non ti dispiaccia, figlio mio,"
se Brunetto Latino un poco teco,Se un breve spazio con il Brunetto Latini
ritorna 'n dietro e lascia andar la traccia”.,"Ritornate indietro e lasciate andare il sentiero."""
"I' dissi lui: “Quanto posso, ven preco;","Gli dissi: ""Con tutto il mio potere lo chiedo;"
"e se volete che con voi m'asseggia,",E se vuoi che mi sieda con te...
"faròl, se piace a costui che vo seco”.","Lo farò, se vuole, perché vado con lui."""
"“O figliuol”, disse, “qual di questa greggia","""O figliolo,"" disse, ""chiunque di questa mandria"
"s'arresta punto, giace poi cent'anni","Un momento si ferma, si trova poi un centinaio di anni,"
sanz'arrostarsi quando 'l foco il feggia.,E non si affligge quando gli colpisce il fuoco.
Però va oltre: i' ti verrò a' panni;,"Perciò va'; io verrò alle tue gonne,"
"e poi rigiugnerò la mia masnada,","E dopo mi unirò alla mia band,"
che va piangendo i suoi etterni danni”.,"Che va a lamentarsi del suo destino eterno."""
Io non osava scender de la strada,Non ho osato scendere dalla strada
per andar par di lui; ma 'l capo chino,"Piano per camminare con lui, ma la mia testa si è inchinata"
tenea com'uom che reverente vada.,Ho tenuto come uno che va con riverenza.
El cominciò: “Qual fortuna o destino,"E cominciò: ""Quale fortuna o quale destino"
anzi l'ultimo dì qua giù ti mena?,Prima che l'ultimo giorno ti conduca qui?
e chi è questi che mostra 'l cammino?”.,"E chi è costui che ti indica la via?."""
"“Là sù di sopra, in la vita serena”,","""Lassù sopra di noi nella vita serena,"""
"rispuos'io lui, “mi smarri' in una valle,","Gli risposi: ""Mi sono persa in una valle,"
avanti che l'età mia fosse piena.,O ancora la mia eta' era stata completata.
Pur ier mattina le volsi le spalle:,Ma sitermorn ho voltato le spalle su di esso;
"questi m'apparve, tornand'ïo in quella,","Questo mi apparve, ritornando là,"
e reducemi a ca per questo calle”.,"E homeward mi conduce lungo questa strada."""
"Ed elli a me: “Se tu segui tua stella,","Ed egli a me: ""Se tu la tua stella seguire,"
"non puoi fallire a glorïoso porto,","Non puoi mancare a te di un porto glorioso,"
se ben m'accorsi ne la vita bella;,Se ho giudicato bene nella vita bella.
"e s'io non fossi sì per tempo morto,","E se non fossi morto cosi' prematuramente,"
"veggendo il cielo a te così benigno,","Vedendo il Cielo così benigna a te,"
dato t'avrei a l'opera conforto.,Ti avrei dato conforto nel lavoro.
Ma quello ingrato popolo maligno,"Ma quel popolo ingrato e maligno,"
"che discese di Fiesole ab antico,","Quale dei vecchi tempi da Fesole discese,"
"e tiene ancor del monte e del macigno,","E schiaffeggia ancora la montagna e il granito,"
"ti si farà, per tuo ben far, nimico;","Si farà, per le tue opere buone, tuo nemico;"
"ed è ragion, ché tra li lazzi sorbi","Ed è giusto, perché tra i sorbetti di granchio"
si disconvien fruttare al dolce fico.,Male si addice al dolce fico per dare frutto.
Vecchia fama nel mondo li chiama orbi;,La vecchia voce del mondo li proclama ciechi;
"gent' è avara, invidiosa e superba:","un popolo avaro, invidioso, orgoglioso,"
dai lor costumi fa che tu ti forbi.,Guardati dalle loro usanze che ti purifichi.
"La tua fortuna tanto onor ti serba,","La Tua fortuna tanto onore ti riserva,"
che l'una parte e l'altra avranno fame,Una parte e l'altra saranno affamati.
di te; ma lungi fia dal becco l'erba.,"Per te, ma lontano dal capro sarà l'erba."
Faccian le bestie fiesolane strame,La loro lettiera lascia le bestie di Fesole
"di lor medesme, e non tocchin la pianta,","Fate di se stessi, né lasciate che tocchino la pianta,"
"s'alcuna surge ancora in lor letame,","Se c'è qualcuno ancora sulla loro sterminata ascesa,"
in cui riviva la sementa santa,In cui può ancora ravvivare il consacrato
di que' Roman che vi rimaser quando,"Seme di quei Romani, che rimasero lì quando"
fu fatto il nido di malizia tanta”.,"Il nido di tanta malizia divenne."""
"“Se fosse tutto pieno il mio dimando”,","""Se la mia supplica fosse compiuta,"
"rispuos'io lui, “voi non sareste ancora","Gli ho risposto: ""Non lo saresti ancora."""
de l'umana natura posto in bando;,In esilio dalla natura umana posto;
"ché 'n la mente m'è fitta, e or m'accora,","Perché nella mia mente è fisso, e tocca ora"
la cara e buona imagine paterna,Il mio cuore la cara e buona immagine paterna
di voi quando nel mondo ad ora ad ora,"Di te, quando nel mondo di ora in ora"
m'insegnavate come l'uom s'etterna:,Mi hai insegnato come un uomo diventa eterno;
"e quant'io l'abbia in grado, mentr'io vivo","E quanto ti sono grato, mentre vivo"
convien che ne la mia lingua si scerna.,Insegna che nella mia lingua essere discernimento.
"Ciò che narrate di mio corso scrivo,","Quello che racconti della mia carriera io scrivo,"
e serbolo a chiosar con altro testo,E tienilo per essere lucidato con altro testo
"a donna che saprà, s'a lei arrivo.","Da una signora che può farlo, se la raggiungo."
"Tanto vogl'io che vi sia manifesto,",Questo ve lo dimostrerò.
"pur che mia coscïenza non mi garra,","A patto che la mia coscienza non mi castighi,"
"ch'a la Fortuna, come vuol, son presto.",Per qualsiasi Fortuna io sia pronto.
Non è nuova a li orecchi miei tal arra:,Questa mano non è nuova ai miei orecchi;
però giri Fortuna la sua rota,Quindi lascia che la Fortuna giri la ruota
"come le piace, e 'l villan la sua marra”.","Come può piacere a lei, e la ribollire il suo mattock."""
Lo mio maestro allora in su la gota,Il mio Maestro laggiù sulla sua guancia destra
destra si volse in dietro e riguardommi;,Si voltò indietro e mi guardò
poi disse: “Bene ascolta chi la nota”.,"Allora disse: ""Ascolta bene chi non la conosce."""
Né per tanto di men parlando vommi,"Né parlare meno su questo conto, vado"
"con ser Brunetto, e dimando chi sono","Con Ser Brunetto, e chiedo chi sono"
li suoi compagni più noti e più sommi.,I suoi compagni più conosciuti ed eminenti.
Ed elli a me: “Saper d'alcuno è buono;,"Ed egli a me: ""Conoscerne alcuni è bene;"
"de li altri fia laudabile tacerci,","Tra gli altri era lodevole stare in silenzio,"
ché 'l tempo saria corto a tanto suono.,"In breve, sarebbe il momento di parlare così tanto."
In somma sappi che tutti fur cherci,"Sappiate in sostanza che tutti erano impiegati,"
"e litterati grandi e di gran fama,","uomini di lettere grandi e di grande fama,"
d'un peccato medesmo al mondo lerci.,Nel mondo contagiato dallo stesso peccato.
"Priscian sen va con quella turba grama,","Priscian va laggiù con quella folla miserabile,"
"e Francesco d'Accorso anche; e vedervi,",E Francesco d'Acorso; e tu avevi veduto là
"s'avessi avuto di tal tigna brama,","Se avessi avuto un desiderio simile,"
colui potei che dal servo de' servi,"Quello, che dal Servo dei Servi"
"fu trasmutato d'Arno in Bacchiglione,","Da Arno fu trasferito a Bacchiglione,"
dove lasciò li mal protesi nervi.,Dove ha lasciato i suoi nervi eccitati dal peccato.
Di più direi; ma 'l venire e 'l sermone,"Direi di più, ma venire e disapprovare"
"più lungo esser non può, però ch'i' veggio","Non può essere più, perché quello che vedo"
là surger nuovo fummo del sabbione.,Nuova rivolta al fumo laggiù dalla sabbia.
Gente vien con la quale esser non deggio.,Un popolo viene con il quale io non sarò;
"Sieti raccomandato il mio Tesoro,","Ti è stato consigliato di essere il mio Tesoro,"
"nel qual io vivo ancora, e più non cheggio”.","In cui vivo ancora, e non più chiedo."""
"Poi si rivolse, e parve di coloro",Poi si voltò e parve essere di quelli
che corrono a Verona il drappo verde,Che a Verona corre per il Mantello Verde
per la campagna; e parve di costoro,"Attraverso la pianura, e sembrava essere tra loro"
"quelli che vince, non colui che perde.","Chi vince, e non chi perde."
,
,
,
,
,
,
,
,
,
,
,
,
